StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1,Q4.1,Q4.2,Sex,Age,Education,Race,Income,physical_health,DOB_month,DOB_day,DOB_year,FTP_1,FTP_2,FTP_3,FTP_4,FTP_5,FTP_6,FTP_7,FTP_8,FTP_9,FTP_10,PR1,PR2,CT1,CT2,CT3,CT4,1d_1,1d_05,1d_005,4d_1,4d_05,4d_005,7d_1,7d_05,7d_005,1w_005,1w_05,1w_1,2w_1,2w_05,2w_005,4w_1,4w_05,4w_005,1m_005,1m_05,1m_1,6m_1,6m_05,6m_005,12m_1,12m_05,12m_005,1y_005,1y_05,1y_1,5y_1,5y_05,5y_005,10y_1,10y_05,10y_005,liquid_savings,confidence,investments,health_ins,extra_money
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"The Effect of Differential Delay on Time Preferences Across Adulthood

 

Welcome to the Time Preferences research project, a web-based experiment that examines how the timing of a gain affects decision making across the lifespan. Before taking part in this study, please read the consent form below and click on the ""I consent"" button at the bottom of the page if you understand the statements and freely consent to participate in the study. 

 

Consent Form

This study involves a web-based experiment designed to examine how the length of a delay affects decision making for people of all ages. The study is being conducted by Dr. Kendra Seaman of the University of Texas at Dallas, and it has been approved by the The University of Texas at Dallas Institutional Review Board. No deception is involved, and the study involves no more than minimal risk to participants (i.e: the level of risk encountered in daily life). 

 

Participation in the study typically takes 7-9 minutes and is strictly confidential. Participants begin by answering a few questions about themselves and how they perceive their lifespan. The study continues with a series of questions asking participants to choose which option they would prefer, and concludes with a few questions about saving habits.  All responses are treated as confidential, and in no case will responses from individual participants be identified. Rather, all data will be pooled and published in aggregate form only. Participants should be aware, however that the experiment is not being run from a ""secure"" server, like those that are used to handle credit card transactions. So there is a small possibility that responses could be viewed by unauthorized third parties (e.g., computer hackers). 

 

Many individuals find participation in this study enjoyable, and no adverse reactions have been reported. Participation is voluntary- refusal to take part in the study involves no penalty or loss of benefits to which participants are otherwise entitled, and participants may withdraw from the study at any time without penalty or loss of benefits to which they are otherwise entitled. In exchange for completing the study, participants will receive e-rewards currency, as described in their study invitation. 



If participants have further questions about this study, they may contact the Principal Investigator, Dr. Kendra Seaman at kendra.seaman@utdallas.edu. Participants who want more information about their rights as a participant or who want to report a research related concern may contact The University of Texas at Dallas Institutional Review Board at (972)-883-4579.

 

If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I consent"" button to begin the experiment. 

 

If you are not  18 years of age or older, do not understand the statements above, or do not freely consent to participate in the study, click on the ""I do not consent"" button to exit the experiment.","Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",Are you male or female?,What is your age?,What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,What is your date of birth? - Month,What is your date of birth? - Day,What is your date of birth? - Year,"Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - Many opportunities await me in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I expect that I will set many new goals in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - My future is filled with possibilities.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - Most of my life lies ahead of me.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - My future seems infinite to me.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I could do anything I want in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - There is plenty of time left in my life to make new plans.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I have the sense that time is running out.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - There are only limited possibilities in my future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - As I get older, I begin to experience time as limited.",Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,"How much money do you have in savings today (in cash, checking, and savings account balances)?","How confident are you that you could come up with $2,000 in 30 days if an unexpected need arose within the next month?","Do you currently have non-retirement Investments (such as stocks, bonds, or mutual funds)?",Do you currently have health insurance?,"If you found yourself needing extra money to make ends meet, would the following statements be true for you? Select any that apply."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID18""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID35""}","{""ImportId"":""QID44""}","{""ImportId"":""QID42""}","{""ImportId"":""QID88""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}"
2019-11-01 13:38:15,2019-11-01 13:38:35,1,100,19,1,2019-11-01 13:38:35,R_29u05LDHFVWObmj,preview,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-14 10:17:46,2019-11-14 10:20:34,1,100,167,1,2019-11-14 10:20:35,R_3HAlXKtj74LDIAx,preview,EN,1,2,2,1,10,6,4,3,5,2,2,2,7,7,7,7,7,7,7,7,7,7,2,1,2,2,,,2,2,,2,,1,2,2,1,1,2,2,2,,1,2,1,1,2,,1,2,,1,1,1,,2,1,2,1,2,2,2,2,2,,,,,
2019-11-19 09:42:17,2019-11-19 09:48:03,0,100,346,1,2019-11-19 09:48:04,R_3iWicilQsfUgiLm,anonymous,EN,1,2,2,2,21,7,1,7,4,7,9,60,7,7,7,7,7,7,7,1,1,4,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,7,2,1,1,1
2019-11-19 20:13:16,2019-11-19 20:20:49,0,100,453,1,2019-11-19 20:20:50,R_5chZetEa9VgTaMN,anonymous,EN,1,2,2,2,7,3,1,16,3,5,18,82,6,7,6,6,5,4,5,6,2,6,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,3,4,2,1,2
2019-11-19 20:31:04,2019-11-19 20:32:48,0,100,104,1,2019-11-19 20:32:48,R_yTP6lrAFEEktqWl,anonymous,EN,1,2,2,2,8,3,1,16,3,5,18,82,4,4,4,4,4,4,4,4,4,4,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
2019-11-20 10:48:54,2019-11-20 10:56:11,0,100,437,1,2019-11-20 10:56:12,R_2zYZ74E41LBNDab,anonymous,EN,1,2,2,1,11,3,4,4,4,2,10,70,6,7,6,7,4,6,6,6,5,6,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,6,2,2,1,1
2019-11-20 10:58:22,2019-11-20 11:01:33,0,100,190,1,2019-11-20 11:01:33,R_a4CltsIyy3X0z8l,anonymous,EN,1,2,2,1,6,3,4,4,4,2,10,75,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,1,1,,,1,1,1,1,1,,,,,1,1,1,1,,,,,,1,1,,1,1,,,,,,1,,1,,,,,
2019-11-20 11:01:47,2019-11-20 11:03:28,0,100,101,1,2019-11-20 11:03:28,R_2rDx6I5tkVZlLSJ,anonymous,EN,1,2,2,1,6,3,4,4,4,2,10,75,5,5,4,2,6,3,2,5,4,5,2,2,2,,,1,1,1,,,2,1,,,1,1,,2,,1,1,2,,,,,,,2,,2,,1,,,2,2,2,1,,,2,,,,,
